Edad (grupos quinquenales);Españoles/Extranjeros;Sexo;Año;Total
55-59 años;TOTAL;Hombres;1999;975487
55-59 años;TOTAL;Hombres;1998;913800
55-59 años;TOTAL;Mujeres;2020;1712299
55-59 años;TOTAL;Mujeres;2019;1662733
55-59 años;TOTAL;Mujeres;2018;1627272
55-59 años;TOTAL;Mujeres;2017;1600048
55-59 años;TOTAL;Mujeres;2016;1562045
55-59 años;TOTAL;Mujeres;2015;1515959
55-59 años;TOTAL;Mujeres;2014;1468609
55-59 años;TOTAL;Mujeres;2013;1433467
55-59 años;TOTAL;Mujeres;2012;1396505
55-59 años;TOTAL;Mujeres;2011;1360582
55-59 años;TOTAL;Mujeres;2010;1326540
55-59 años;TOTAL;Mujeres;2009;1314789
55-59 años;TOTAL;Mujeres;2008;1312332
55-59 años;TOTAL;Mujeres;2007;1284711
55-59 años;TOTAL;Mujeres;2006;1269591
55-59 años;TOTAL;Mujeres;2005;1269367
55-59 años;TOTAL;Mujeres;2004;1241745
55-59 años;TOTAL;Mujeres;2003;1206823
55-59 años;TOTAL;Mujeres;2002;1157312
55-59 años;TOTAL;Mujeres;2001;1105578
55-59 años;TOTAL;Mujeres;2000;1088392
55-59 años;TOTAL;Mujeres;1999;1016348
55-59 años;TOTAL;Mujeres;1998;957103
60-64 años;TOTAL;Hombres;2020;1410111
60-64 años;TOTAL;Hombres;2019;1353690
60-64 años;TOTAL;Hombres;2018;1307897
60-64 años;TOTAL;Hombres;2017;1271814
60-64 años;TOTAL;Hombres;2016;1241920
60-64 años;TOTAL;Hombres;2015;1215214
60-64 años;TOTAL;Hombres;2014;1209908
60-64 años;TOTAL;Hombres;2013;1222021
60-64 años;TOTAL;Hombres;2012;1206964
60-64 años;TOTAL;Hombres;2011;1195059
60-64 años;TOTAL;Hombres;2010;1197171
60-64 años;TOTAL;Hombres;2009;1179734
60-64 años;TOTAL;Hombres;2008;1147908
