periodo,tramo,pensionistas
2009,"De 2.548,11 a 2.548,13",
2009,"De 2.522,88 a 2.522,90",
2009,"De 2.497,90 a 2.497,92",
2009,"De 2.466,19 a 2.466,21",
2009,"De 2.441,74 a 2.441,76",88077.83
2009,"De 2.384,50 a 2.384,52",
2009,"De 2.290,58 a 2.290,60",
2009,"De 2.232,53 a 2.232,55",
2009,"De 2.554,48 a 2.554,50",
2009,"De 2.560,87 a 2.560,89",
2009,"De 2.159,11 a 2.159,13",
2009,"De 2.567,27 a 2.567,29",
2009,"De 2.500,01 a 2.573,68",
2009,"De 2.500,01 a 2.580,11",
2009,"De 2.500,01 a 2.600,00",
2009,"Más de 2.548,13 euros",
2009,"Más de 2.522,90 euros",
2009,"Más de 2.497,92 euros",
2009,"Más de 2.466,21 euros",
2009,"Más de 2.441,76 euros",4580.67
2009,"Más de 2.384,52 euros",
2009,"Más de 2.290,60 euros",
2009,"Más de 2.232,55 euros",
2009,"Más de 2.554,50 euros",
2009,"Más de 2.560,89 euros",
2009,"Más de 2.159,13 euros",
2009,"Más de 2.567,29 euros",
2009,"De 2.573,69 a 2.573,71",
2009,"De 2.580,12 a 2.580,14",
2009,"De 2.600,01 a 2.614,94",
2009,"De 2.600,01 a 2.659,39",
2009,"De 2.600,01 a 2.683,32",
2009,"De 2.600,01 a 2.707,47",
2009,"Más de 2.573,71 euros",
2009,"Más de 2.580,14 euros",
2009,"De 2.614,95 a 2.614,97",
2009,"De 2.659,40 a 2.659,42",
2009,"De 2.683,33 a 2.683,35",
2009,"De 2.707,48 a 2.707,50",
2009,"Más de 2.614,97 euros",
2009,"Más de 2.659,42 euros",
2009,"Más de 2.683,35 euros",
2009,"Más de 2.707,50",
2010,Hasta 150 euros,78453.42
2010,"De 150,01 a 250,00",56219.25
2010,"De 250,01 a 300,00",78833.17
2010,"De 300,01 a 350,00",114790.67
2010,"De 350,01 a 400,00",427142.75
2010,"De 400,01 a 450,00",83122.83
2010,"De 450,01 a 500,00",76100.25
2010,"De 500,01 a 550,00",204806
2010,"De 500,01 a 540,89",
2010,"De 540,90 a 600,00",
2010,"De 500,01 a 512,99",
2010,"De 513,00 a 600,00",
2010,"De 550,01 a 600,00",1191603.08
2010,"De 550,01 a 570,59",
2010,"De 570,60 a 600,00",
2010,"De 600,01 a 700,00",
2010,"De 600,01 a 645,29",
2010,"De 600,01 a 641,39",
2010,"De 600,01 a 633,29",98888.33
2010,"De 600,01 a 623,99",
2010,"De 600,01 a 648,59",
2010,"De 600,01 a 655,19",
2010,"De 600,01 a 650,00",
2010,"De 645,30 a 700,00",
2010,"De 641,40 a 700,00",
2010,"De 633,30 a 700,00",192434.25
2010,"De 624,00 a 700,00",
2010,"De 648,60 a 700,00",
2010,"De 655,20 a 700,00",
2010,"De 650,01 a 707,69",
2010,"De 650,01 a 735,89",
2010,"De 650,01 a 700,00",
2010,"De 700,01 a 750,00",
2010,"De 700,01 a 800,00",535273.75
2010,"De 707,70 a 800,00",
2010,"De 735,90 a 800,00",
2010,"De 750,01 a 800,00",
2010,"De 800,01 a 850,00",
2010,"De 800,01 a 900,00",210992.75
2010,"De 850,01 a 899,99",
2010,"De 850,01 a 900,00",
2010,"De 900,00 a 1000,00",
2010,"De 900,01 a 949,99",
2010,"De 900,01 a 964,99",
2010,"De 900,01 a 1.000,00",213768.92
2010,"De 950,00 a 1.000,00",
2010,"De 965,00 a 1.000,00",
2010,"De 1.000,01 a 1.100,00",204688.83
2010,"De 1.100,01 a 1.200,00",195453.33
2010,"De 1.200,01 a 1.300,00",163964
2010,"De 1.300,01 a 1.400,00",138459.5
2010,"De 1.400,01 a 1.500,00",122544.08
2010,"De 1.500,01 a 1.600,00",119608.25
2010,"De 1.600,01 a 1.700,00",102137.5
2010,"De 1.700,01 a 1.800,00",84026.5
2010,"De 1.800,01 a 1.900,00",78033.92
2010,"De 1.900,01 a 2.000,00",64106.25
2010,"De 2.000,01 a 2.100,00",54257.17
2010,"De 2.100,01 a 2.200,00",45903.75
2010,"De 2.200,01 a 2.300,00",43228.25
2010,"De 2.300,01 a 2.400,00",33877.75
2010,"De 2.400,01 a 2.548,10",
2010,"De 2.400,01 a 2.522,87",
2010,"De 2.400,01 a 2.497,89",
2010,"De 2.400,01 a 2.466,18",22128.5
2010,"De 2.400,01 a 2.441,73",
2010,"De 2.300,01 a 2.384,49",
2010,"De 2.200,01 a 2.290,57",
2010,"De 2.100,01 a 2.232,52",
2010,"De 2.400,01 a 2.554,47",
2010,"De 2.400,01 a 2.560,86",
2010,"De 2.100,01 a 2.159,10",
2010,"De 2.400,01 a 2.567,26",
2010,"De 2.400,01 a 2.500,00",
2010,"De 2.548,11 a 2.548,13",
2010,"De 2.522,88 a 2.522,90",
2010,"De 2.497,90 a 2.497,92",
2010,"De 2.466,19 a 2.466,21",98731.25
2010,"De 2.441,74 a 2.441,76",
2010,"De 2.384,50 a 2.384,52",
2010,"De 2.290,58 a 2.290,60",
2010,"De 2.232,53 a 2.232,55",
2010,"De 2.554,48 a 2.554,50",
2010,"De 2.560,87 a 2.560,89",
2010,"De 2.159,11 a 2.159,13",
2010,"De 2.567,27 a 2.567,29",
2010,"De 2.500,01 a 2.573,68",
2010,"De 2.500,01 a 2.580,11",
2010,"De 2.500,01 a 2.600,00",
2010,"Más de 2.548,13 euros",
2010,"Más de 2.522,90 euros",
2010,"Más de 2.497,92 euros",
2010,"Más de 2.466,21 euros",6975.58
2010,"Más de 2.441,76 euros",
2010,"Más de 2.384,52 euros",
2010,"Más de 2.290,60 euros",
2010,"Más de 2.232,55 euros",
2010,"Más de 2.554,50 euros",
2010,"Más de 2.560,89 euros",
2010,"Más de 2.159,13 euros",
2010,"Más de 2.567,29 euros",
2010,"De 2.573,69 a 2.573,71",
2010,"De 2.580,12 a 2.580,14",
2010,"De 2.600,01 a 2.614,94",
2010,"De 2.600,01 a 2.659,39",
2010,"De 2.600,01 a 2.683,32",
2010,"De 2.600,01 a 2.707,47",
2010,"Más de 2.573,71 euros",
2010,"Más de 2.580,14 euros",
2010,"De 2.614,95 a 2.614,97",
2010,"De 2.659,40 a 2.659,42",
2010,"De 2.683,33 a 2.683,35",
2010,"De 2.707,48 a 2.707,50",
2010,"Más de 2.614,97 euros",
